step,energy,temperature,pressure,kinetic,potential
0,-230.8428908827817,0.09436098767244346,-1.0382601854550833,15.28648000293584,-246.12937088571752
1,-230.51070246431692,0.09605697421021331,-1.0372884771710238,15.561229822054557,-246.07193228637146
2,-230.05168485604986,0.09849750949619805,-1.0359179505034413,15.956596538384085,-246.00828139443394
3,-229.4690738132512,0.10166163280047298,-1.0341529878125295,16.469184513676623,-245.93825832692784
4,-228.76381503213045,0.10554247346686658,-1.0319910984579013,17.097880701632388,-245.86169573376284
5,-227.93497328061866,0.11014472161515448,-1.0294239108519379,17.843444901655026,-245.7784181822737
6,-226.98003498144828,0.11548275065855332,-1.026437864748593,18.708205606685638,-245.6882405881339
7,-225.89513497354744,0.12157920075850072,-1.023014680115227,19.695830522877117,-245.59096549642456
8,-224.6752292041458,0.12846388733603364,-1.0191316547367524,20.81114974843745,-245.48637895258327
9,-223.3142289881287,0.1361729360370982,-1.0147618256204107,22.06001563800991,-245.3742446261386
10,-221.80510823298818,0.14474807112361962,-1.0098740167110418,23.449187522026378,-245.25429575501457
11,-220.1399920231057,0.15423600206626745,-1.0044327856242168,24.986232334735327,-245.126224357841
12,-218.31023275009008,0.1646878657821277,-0.998398273781646,26.67943425670469,-244.98966700679478
13,-216.3067472358217,0.17615750470185046,-0.9917740188517695,28.537515761699773,-244.84426299752147
14,-214.12001485050183,0.1887020670656464,-0.9844645426167238,30.569734864634718,-244.68974971513654
15,-211.73971501458345,0.2023825985816557,-0.9764156383816985,32.78598097022822,-244.52569598481168
16,-209.15439230079346,0.21726229686946194,-0.9675648550352816,35.196492092852836,-244.3508843936463
17,-206.35314362327316,0.23340486724584622,-0.9578933249449767,37.81158849382709,-244.16473211710024
18,-203.32439531638647,0.25087369490685646,-0.9473256415311795,40.64153857491075,-243.96593389129723
19,-200.05570931748653,0.26973509259886497,-0.9356334981295826,43.69708500101613,-243.75279431850265
20,-196.53444108497092,0.29005337232717787,-0.9229558458286796,46.98864631700282,-243.52308740197373
21,-192.74828169629058,0.31189091327339724,-0.9089461280552563,50.52632795029035,-243.27460964658093
22,-188.6831898168748,0.3353102568421603,-0.893614228842826,54.32026160842997,-243.00345142530477
23,-184.32409928960257,0.3603725583624593,-0.8766612651017679,58.38035445471841,-242.70445374432097
24,-179.65540888194062,0.38713634845901457,-0.8581373821582668,62.71608845036036,-242.37149733230098
25,-174.66022683413522,0.41565780774791805,-0.8376729783259005,67.33656485516272,-241.99679168929794
26,-169.31828380970921,0.44599611837624703,-0.815074960269634,72.25137117695202,-241.56965498666125
27,-163.60206962668215,0.4782223549258882,-0.7896332573304724,77.4720214979939,-241.07409112467604
28,-157.47767344443594,0.5124208976320969,-0.761041398064674,83.01218541639969,-240.48985886083562
29,-150.89760293274475,0.5487052191735844,-0.7286654883098,88.89024550612068,-239.78784843886544
30,-143.7890202956836,0.587262000203164,-0.691717686335775,95.13644403291256,-238.92546432859615
31,-136.038127958942,0.6283905533770435,-0.6485991853834462,101.79926964708105,-237.83739760602305
32,-127.46186229612441,0.672601197959535,-0.5968457938866807,108.96139406944467,-236.42325636556907
33,-117.73511398893716,0.7208379725242431,-0.5326706232860008,116.77575154892737,-234.51086553786453
34,-106.47602511983604,0.7735274626437565,-0.47222800368725537,125.31144894828856,-231.7874740681246
35,-93.18606302302055,0.8303622940126106,-0.40681300685162186,134.51869163004292,-227.70475465306347
36,-76.78055791549193,0.8918311164522905,-0.32670227711916305,144.47664086527107,-221.257198780763
37,-55.0305913167407,0.95954903906173,-0.22451810427126173,155.44694432800026,-210.47753564474095
38,-23.80905538726202,1.033857585410513,-0.13771716623042024,167.48492883650312,-191.29398422376514
39,-34.026477452151795,1.1091139150069522,-0.09358272138316304,179.67645423112626,-213.70293168327805
